名前,ウマ娘順,サイゲURL,wikiURL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
デアリングタクト,84,https://umamusume.jp/character/daringtact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,https://umamusume.jp/character/daringtact,https://ja.wikipedia.org/wiki/デアリングタクト
ホッコータルマエ,85,https://umamusume.jp/character/hokkotarumae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,https://umamusume.jp/character/hokkotarumae,https://ja.wikipedia.org/wiki/ホッコータルマエ
ワンダーアキュート,86,https://umamusume.jp/character/wonderacute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,https://umamusume.jp/character/wonderacute,https://ja.wikipedia.org/wiki/ワンダーアキュート
ダイイチルビー,87,https://umamusume.jp/character/daiichiruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,https://umamusume.jp/character/daiichiruby,https://ja.wikipedia.org/wiki/ダイイチルビー
ケイエスミラクル,88,https://umamusume.jp/character/ksmiracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,https://umamusume.jp/character/ksmiracle,https://ja.wikipedia.org/wiki/ケイエスミラクル
メジロラモーヌ,89,https://umamusume.jp/character/mejiroramonu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,https://umamusume.jp/character/mejiroramonu,https://ja.wikipedia.org/wiki/メジロラモーヌ
ジャングルポケット,90,https://umamusume.jp/character/junglepocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,https://umamusume.jp/character/junglepocket,https://ja.wikipedia.org/wiki/ジャングルポケット
カツラギエース,91,https://umamusume.jp/character/katsuragiace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,https://umamusume.jp/character/katsuragiace,https://ja.wikipedia.org/wiki/カツラギエース
ネオユニヴァース,92,https://umamusume.jp/character/neouniverse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,https://umamusume.jp/character/neouniverse,https://ja.wikipedia.org/wiki/ネオユニヴァース
ヒシミラクル,93,https://umamusume.jp/character/hishimiracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,https://umamusume.jp/character/hishimiracle,https://ja.wikipedia.org/wiki/ヒシミラクル
タップダンスシチー,94,https://umamusume.jp/character/tapdancecity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,https://umamusume.jp/character/tapdancecity,https://ja.wikipedia.org/wiki/タップダンスシチー
サウンズオブアース,95,https://umamusume.jp/character/soundsofearth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,https://umamusume.jp/character/soundsofearth,https://ja.wikipedia.org/wiki/サウンズオブアース
ノースフライト,96,https://umamusume.jp/character/northflight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,https://umamusume.jp/character/northflight,https://ja.wikipedia.org/wiki/ノースフライト
